keyword_country,keyword_raw,keyword,kw_match,match_mode,regex_pattern,stance_original,stance_primary,context
Algeria,#JusticePourChaima / #كلنا_شيماء,#JusticePourChaima,justicepourchaima,word,\bjusticepourchaima\b,Support,Support,Oct 2020: rape and murder of 19-year-old Chaima sparked national outrage and anti-femicide mobilization ('we are all Chaima').
Algeria,#JusticePourChaima / #كلنا_شيماء,#كلنا_شيماء,كلنا_شيماء,substr,,Support,Support,Oct 2020: rape and murder of 19-year-old Chaima sparked national outrage and anti-femicide mobilization ('we are all Chaima').
Algeria,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Algeria,#MosqueMeToo,#MosqueMeToo,mosquemetoo,word,\bmosquemetoo\b,Support / Adjacent,Support,"Hashtag for Muslim women's accounts of harassment/abuse during Hajj, in mosques, or in religious spaces. Translation/Gloss: MeToo in mosque/Hajj contexts."
Algeria,#أنا_أيضا,#أنا_أيضا,أنا_أيضا,substr,,Support / Translation,Support,Formal Arabic equivalent of #MeToo. Translation/Gloss: Me too / I also.
Algeria,#أنا_كمان,#أنا_كمان,أنا_كمان,substr,,Support / Translation,Support,Arabic #MeToo counterpart used across Arabic-speaking social media. Translation/Gloss: Me too.
Algeria,Féminicides Algérie,Féminicides Algérie,féminicides algérie,substr,,Support,Support,Activist femicide-counting project; central node of Algerian coverage of violence against women.
Algeria,التحرش_الجنسي,التحرش_الجنسي,التحرش_الجنسي,substr,,Support / Search Term,Support,Arabic publication/search keyword. Translation/Gloss: sexual harassment.
Algeria,العنف_ضد_المرأة,العنف_ضد_المرأة,العنف_ضد_المرأة,substr,,Support / Search Term,Support,Arabic publication/search keyword. Translation/Gloss: violence against women.
American Samoa,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
American Samoa,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Andorra,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Andorra,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Andorra,#YoTambién / #JoTambé / #BalanceTonPorc,#YoTambién,yotambién,substr,,Support,Support,No distinct national movement; Catalan/Spanish/French tags circulate given media sphere.
Andorra,#YoTambién / #JoTambé / #BalanceTonPorc,#JoTambé,jotambé,substr,,Support,Support,No distinct national movement; Catalan/Spanish/French tags circulate given media sphere.
Andorra,#YoTambién / #JoTambé / #BalanceTonPorc,#BalanceTonPorc,balancetonporc,word,\bbalancetonporc\b,Support,Support,No distinct national movement; Catalan/Spanish/French tags circulate given media sphere.
Angola,#ChegaDeFiuFiu,#ChegaDeFiuFiu,chegadefiufiu,word,\bchegadefiufiu\b,Support / Adjacent,Support,Brazil-origin anti-street-harassment campaign; relevant for Portuguese-language searches. Translation/Gloss: Enough with catcalling.
Angola,#EuTambém,#EuTambém,eutambém,substr,,Support / Translation,Support,Portuguese equivalent of #MeToo. Translation/Gloss: Me too.
Angola,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Angola,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Angola,#PrimeiroAssédio,#PrimeiroAssédio,primeiroassédio,substr,,Support / Adjacent,Support,Brazil-origin hashtag where women shared first harassment experiences. Translation/Gloss: First harassment.
Angola,assédio sexual,assédio sexual,assédio sexual,substr,,Support / Generic Term,Support,No documented national hashtag movement; generic Portuguese term for recall.
Anguilla,#BelieveWomen,#BelieveWomen,believewomen,word,\bbelievewomen\b,Support / Solidarity,Support,Survivor-belief and anti-victim-blaming phrase used in #MeToo-related discourse. Translation/Gloss: Believe women.
Anguilla,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Anguilla,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Anguilla,#TimesUp,#TimesUp,timesup,word,\btimesup\b,Support / Solidarity,Support,Transnational accountability and anti-harassment hashtag frequently paired with #MeToo. Translation/Gloss: Time is up.
Anguilla,sexual harassment,sexual harassment,sexual harassment,word,\bsexual\ harassment\b,Support / Search Term,Support,English search keyword for #MeToo-related social-media and publication searches. Translation/Gloss: sexual harassment.
Anguilla,violence against women,violence against women,violence against women,word,\bviolence\ against\ women\b,Support / Search Term,Support,English search keyword for adjacent #MeToo and gender-based violence coverage. Translation/Gloss: violence against women.
Antarctica,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Antarctica,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Antigua and Barbuda,#BelieveWomen,#BelieveWomen,believewomen,word,\bbelievewomen\b,Support / Solidarity,Support,Survivor-belief and anti-victim-blaming phrase used in #MeToo-related discourse. Translation/Gloss: Believe women.
Antigua and Barbuda,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Antigua and Barbuda,#LifeInLeggings,#LifeInLeggings,lifeinleggings,word,\blifeinleggings\b,Support,Support,"Caribbean movement founded in Barbados (Nov 2016, Ronelle King) documenting everyday harassment; spread across the anglophone Caribbean."
Antigua and Barbuda,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Antigua and Barbuda,#TimesUp,#TimesUp,timesup,word,\btimesup\b,Support / Solidarity,Support,Transnational accountability and anti-harassment hashtag frequently paired with #MeToo. Translation/Gloss: Time is up.
Antigua and Barbuda,sexual harassment,sexual harassment,sexual harassment,word,\bsexual\ harassment\b,Support / Search Term,Support,English search keyword for #MeToo-related social-media and publication searches. Translation/Gloss: sexual harassment.
Antigua and Barbuda,violence against women,violence against women,violence against women,word,\bviolence\ against\ women\b,Support / Search Term,Support,English search keyword for adjacent #MeToo and gender-based violence coverage. Translation/Gloss: violence against women.
Argentina,#Cuéntalo,#Cuéntalo,cuéntalo,substr,,Support / Adjacent,Support,Spanish testimony hashtag associated especially with Spain and the La Manada reckoning; useful across Spanish-language searches. Translation/Gloss: Tell it / tell your story.
Argentina,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Argentina,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Argentina,#MiraComoNosPonemos,#MiraComoNosPonemos,miracomonosponemos,word,\bmiracomonosponemos\b,Support / Solidarity,Support,Argentina: mass solidarity slogan after Thelma Fardin accused actor Juan Darthes of rape; the case became a landmark Argentine #MeToo moment. Translation/Gloss: Look how we get / this is how we react.
Argentina,#MiráCómoNosPonemos,#MiráCómoNosPonemos,mirácómonosponemos,substr,,Support,Support,Translates to 'Look how you make us'.
Argentina,#NiUnaMenos,#NiUnaMenos,niunamenos,word,\bniunamenos\b,Support / Adjacent,Support,Latin American movement against femicide and violence against women; often overlaps with #MeToo-adjacent activism. Translation/Gloss: Not one woman less.
Argentina,#YoSíTeCreo,#YoSíTeCreo,yosítecreo,substr,,Support / Solidarity,Support,Spanish solidarity tag/phrase used around sexual-violence testimony and belief of survivors. Translation/Gloss: I do believe you.
Argentina,#YoTambién,#YoTambién,yotambién,substr,,Support / Translation,Support,Spanish-language equivalent of #MeToo; documented in global/regional lists. Translation/Gloss: Me too.
Argentina,#YoTeCreo / #NoEsNo / #VivasNosQueremos,#YoTeCreo,yotecreo,word,\byotecreo\b,Support,Support,Solidarity and anti-violence tags used alongside NiUnaMenos.
Argentina,#YoTeCreo / #NoEsNo / #VivasNosQueremos,#NoEsNo,noesno,word,\bnoesno\b,Support,Support,Solidarity and anti-violence tags used alongside NiUnaMenos.
Argentina,#YoTeCreo / #NoEsNo / #VivasNosQueremos,#VivasNosQueremos,vivasnosqueremos,word,\bvivasnosqueremos\b,Support,Support,Solidarity and anti-violence tags used alongside NiUnaMenos.
Argentina,acoso sexual,acoso sexual,acoso sexual,word,\bacoso\ sexual\b,Support / Search Term,Support,Spanish publication/search keyword. Translation/Gloss: sexual harassment.
Argentina,feminazi,feminazi,feminazi,word,\bfeminazi\b,Backlash,Backlash,Pan-Hispanic derogatory label for feminists; standard backlash marker in es-language coverage.
Armenia,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Armenia,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Armenia,#Բռնության_ձայնը (Brnutyan Dzayne),#Բռնության_ձայնը (Brnutyan Dzayne),բռնության_ձայնը (brnutyan dzayne),substr,,Support,Support,"'Voices of Violence', July 2019: after Hetq published a Czech woman's assault account, journalist Lucy Kocharyan published anonymous survivor stories; called Armenia's MeToo."
Armenia,#ԵսԷլ,#ԵսԷլ,եսէլ,substr,,Support / Translation,Support,Armenian equivalent of #MeToo. Translation/Gloss: Me too.
Armenia,Ստամբուլյան կոնվենցիա (Istanbul Convention),Ստամբուլյան կոնվենցիա (Istanbul Convention),ստամբուլյան կոնվենցիա (istanbul convention),substr,,Backlash / Context,Backlash,Backlash claimed the campaign faked stories to push Istanbul Convention ratification; conservative anti-convention discourse is the main counter-frame.
Armenia,սեռական ոտնձգություն,սեռական ոտնձգություն,սեռական ոտնձգություն,substr,,Support / Search Term,Support,Armenian publication/search keyword. Translation/Gloss: sexual harassment.
Aruba,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Aruba,#IkOok,#IkOok,ikook,word,\bikook\b,Support / Translation,Support,Dutch equivalent of #MeToo. Translation/Gloss: Me too.
Aruba,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Aruba,seksuele intimidatie,seksuele intimidatie,seksuele intimidatie,word,\bseksuele\ intimidatie\b,Support / Search Term,Support,Dutch publication/search keyword. Translation/Gloss: sexual harassment.
Australia,#BelieveWomen,#BelieveWomen,believewomen,word,\bbelievewomen\b,Support / Solidarity,Support,Survivor-belief and anti-victim-blaming phrase used in #MeToo-related discourse. Translation/Gloss: Believe women.
Australia,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Australia,#LetHerSpeak,#LetHerSpeak,letherspeak,word,\bletherspeak\b,Support,Support,"2018-19 Nina Funnell campaign against survivor gag laws (Tasmania/NT); Grace Tame became face of it, later Australian of the Year 2021."
Australia,#March4Justice,#March4Justice,march4justice,word,\bmarch4justice\b,Support,Support,Mar 2021 mass marches after Brittany Higgins' parliament rape allegation and historical allegation against minister Christian Porter.
Australia,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Australia,#NowAustralia,#NowAustralia,nowaustralia,word,\bnowaustralia\b,Support / Localized,Support,Australia: organization founded after Australian #MeToo disclosures to support targets of workplace harassment. Translation/Gloss: NOW Australia.
Australia,#TimesUp,#TimesUp,timesup,word,\btimesup\b,Support / Solidarity,Support,Transnational accountability and anti-harassment hashtag frequently paired with #MeToo. Translation/Gloss: Time is up.
Australia,Brittany Higgins / Grace Tame,Brittany Higgins,brittany higgins,word,\bbrittany\ higgins\b,Support / Case,Support,Central figures of the 2021 wave.
Australia,Brittany Higgins / Grace Tame,Grace Tame,grace tame,word,\bgrace\ tame\b,Support / Case,Support,Central figures of the 2021 wave.
Australia,Geoffrey Rush defamation,Geoffrey Rush defamation,geoffrey rush defamation,word,\bgeoffrey\ rush\ defamation\b,Backlash / Legal,Backlash,"Rush won record defamation payout against Daily Telegraph (2019-20); with Porter's defamation action, chilled Australian MeToo reporting - 'trial by media' is the backlash frame."
Australia,sexual harassment,sexual harassment,sexual harassment,word,\bsexual\ harassment\b,Support / Search Term,Support,English search keyword for #MeToo-related social-media and publication searches. Translation/Gloss: sexual harassment.
Australia,violence against women,violence against women,violence against women,word,\bviolence\ against\ women\b,Support / Search Term,Support,English search keyword for adjacent #MeToo and gender-based violence coverage. Translation/Gloss: violence against women.
Austria,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Austria,#IchAuch,#IchAuch,ichauch,word,\bichauch\b,Support / Translation,Support,German equivalent of #MeToo. Translation/Gloss: Me too.
Austria,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Austria,#aufschrei,#aufschrei,aufschrei,word,\baufschrei\b,Support / Adjacent,Support,German anti-sexism hashtag predating and overlapping #MeToo themes. Translation/Gloss: Outcry.
Austria,Sigi Maurer,Sigi Maurer,sigi maurer,word,\bsigi\ maurer\b,Support / Case,Support,2018: politician Sigrid Maurer prosecuted for publishing obscene messages sent to her; case became a rallying point on harassment and defamation law.
Austria,sexuelle Belästigung,sexuelle Belästigung,sexuelle belästigung,substr,,Support / Search Term,Support,German publication/search keyword. Translation/Gloss: sexual harassment.
Azerbaijan,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Azerbaijan,#KadınaŞiddeteHayır,#KadınaŞiddeteHayır,kadınaşiddetehayır,substr,,Support / Adjacent,Support,Turkish-language anti-violence-against-women hashtag often overlapping with #MeToo topics. Translation/Gloss: No to violence against women.
Azerbaijan,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Azerbaijan,#MənDə,#MənDə,məndə,substr,,Support / Translation,Support,Azerbaijani equivalent/search term; use with #MeToo for local-language searches. Translation/Gloss: Me too.
Azerbaijan,#QadınaŞiddətəYox,#QadınaŞiddətəYox,qadınaşiddətəyox,substr,,Support,Support,"'No to violence against women', Oct 2019, after a man stabbed his wife 25 times in public in Baku; closest thing to an Azerbaijani MeToo."
Azerbaijan,#SendeAnlat,#SendeAnlat,sendeanlat,word,\bsendeanlat\b,Support / Adjacent,Support,"Turkish hashtag after the Ozgecan Aslan murder, asking women to tell their experiences of harassment/violence. Translation/Gloss: Tell your story too."
Azerbaijan,cinsel taciz,cinsel taciz,cinsel taciz,word,\bcinsel\ taciz\b,Support / Search Term,Support,Turkish publication/search keyword. Translation/Gloss: sexual harassment.
Azerbaijan,cinsi qısnama,cinsi qısnama,cinsi qısnama,substr,,Support / Generic Term,Support,'Sexual harassment' - recall term; no sustained hashtag movement.
Bahamas,#BelieveWomen,#BelieveWomen,believewomen,word,\bbelievewomen\b,Support / Solidarity,Support,Survivor-belief and anti-victim-blaming phrase used in #MeToo-related discourse. Translation/Gloss: Believe women.
Bahamas,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Bahamas,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Bahamas,#TimesUp,#TimesUp,timesup,word,\btimesup\b,Support / Solidarity,Support,Transnational accountability and anti-harassment hashtag frequently paired with #MeToo. Translation/Gloss: Time is up.
Bahamas,sexual harassment,sexual harassment,sexual harassment,word,\bsexual\ harassment\b,Support / Search Term,Support,English search keyword for #MeToo-related social-media and publication searches. Translation/Gloss: sexual harassment.
Bahamas,violence against women,violence against women,violence against women,word,\bviolence\ against\ women\b,Support / Search Term,Support,English search keyword for adjacent #MeToo and gender-based violence coverage. Translation/Gloss: violence against women.
Bahrain,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Bahrain,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Bahrain,#MosqueMeToo,#MosqueMeToo,mosquemetoo,word,\bmosquemetoo\b,Support / Adjacent,Support,"Hashtag for Muslim women's accounts of harassment/abuse during Hajj, in mosques, or in religious spaces. Translation/Gloss: MeToo in mosque/Hajj contexts."
Bahrain,#أنا_أيضا,#أنا_أيضا,أنا_أيضا,substr,,Support / Translation,Support,Formal Arabic equivalent of #MeToo. Translation/Gloss: Me too / I also.
Bahrain,#أنا_كمان,#أنا_كمان,أنا_كمان,substr,,Support / Translation,Support,Arabic #MeToo counterpart used across Arabic-speaking social media. Translation/Gloss: Me too.
Bahrain,التحرش_الجنسي,التحرش_الجنسي,التحرش_الجنسي,substr,,Support / Search Term,Support,Arabic publication/search keyword. Translation/Gloss: sexual harassment.
Bahrain,العنف_ضد_المرأة,العنف_ضد_المرأة,العنف_ضد_المرأة,substr,,Support / Search Term,Support,Arabic publication/search keyword. Translation/Gloss: violence against women.
Bahrain,تحرش جنسي,تحرش جنسي,تحرش جنسي,substr,,Support / Generic Term,Support,No documented national movement; generic Arabic recall term.
Bangladesh,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Bangladesh,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Bangladesh,#MeTooBangladesh,#MeTooBangladesh,metoobangladesh,word,\bmetoobangladesh\b,Support / Localized,Support,Localized #MeToo search tag for Bangladesh coverage. Translation/Gloss: MeToo Bangladesh.
Bangladesh,#আমিও,#আমিও,আমিও,substr,,Support / Translation,Support,Bengali equivalent of #MeToo. Translation/Gloss: Me too.
